title,url,webentity_type,classifications_sitpol,classifications_ddc,specific_agents,specific_actor_type,descriptions@lang=fr,keywords@lang=fr,keywords@lang=en,creators@role=pbl,languages,publication_countries,rec_type_cerimes,target_audiences_cerimes,rec_created_use,notes@lang=fr
Parti socialiste (PS),http://www.parti-socialiste.fr,Page d'accueil,"vie politique:campagne électorale ; vie politique:vie politique ; économie:économie ; économie:crise financière ; économie:finances publiques ; emploi:emploi ; éducation:éducation ; éducation:enseignement supérieur et recherche ; politique sociale:politique sociale ; société:société

",324.944,françois hollande ; martine aubry,political_party,"les statuts du Parti, ses orientations, son fonctionnement et réglement, le programme politique, les différentes motions, les réseaux et groupes associés",Partis politiques ; Gauche ; Socialistes ; France ;  Élections ,Political Parties ; Socialists ; Left ; France ; Elections,Parti socialiste,fre,FR,12,10,OD,
Brèves 3.0,http://amiralwoland.wordpress.com,Page d'accueil,vie politique:identité nationale ; société:immigration,324.944,marine le pen,activist,"Blog qui défend une vision  ""culturaliste"" de la société française qui soutient les le mouvement des ""bonnets rouges"" contre la politique du gouvernement Ayrault.",vie politique ; fiscalité ; identité nationale ; immigration,politics ; national identity ; immigration ; taxes,Brèves 3.0,fre,FR,13,11,DG,
"Egalité et réconciliation : gauche du travail + droite des valeurs, pour une réconciliation nationale",http://www.egaliteetreconciliation.fr,Page d'accueil,vie politique:identité nationale ; société:immigration ; société:droits de l’homme ; société:laïcité et religion,324.944,alain soral ; marine le pen,activist,"Site fondé par Alain Soral. Égalité et Réconciliation (E&R) est une association politique « trans-courants » créée en juin 2007. Son objectif est de rassembler les citoyens qui font de la Nation le cadre déterminant de l’action politique et de la politique sociale un fondement de la Fraternité, composante essentielle de l’unité nationale.",vie politique ; identité nationale ; immigration ; anti-mondialisation,politics ; national identity ; immigration ; anti-globalism,Egalité et Réconciliation,fre,FR,12,11,DG,
Mouvement pour la France (MPF),http://www.pourlafrance.fr,Page d'accueil,vie politique:souveraineté  ; vie politique:identité nationale ; société:immigration ; europe:europe ; économie:finances publiques,324.944,philippe de villiers,political_party,"Le mouvement, le fonctionnement, les statuts, le projet politique",Partis politiques ; Droite ; France,Politics ; Right  ; France,le Mouvement Pour la France ,fre,FR,12,11,OD,
Mouvement républicain et citoyen (MRC),http://www.mrc-france.org,Page d'accueil,vie politique:souveraineté ; économie:finances publiques; économie:crise financière; europe:europe ; sécurité et défense:sécurité et défense,324.944,jean-pierre chevènement,political_party,"Les statuts, le fonctionnement du mouvement, les organismes associés",Partis politiques ; Gauche ; France,Political parties ; Left ; France,Mouvement républicain et citoyen ,fre,FR,12,11,OD,
France républicaine - le portail républicain,http://www.france-republicaine.fr,Page d'accueil,vie politique:souveraineté ; vie politique:campagne électorale ; économie:crise financière ; europe:europe,324.944,,association,"Le réseau France Républicaine a pour objet d'informer sur la vie des mouvements républicains et de promouvoir la République indivisible, laïque, démocratique et sociale. Créé par Laurent Pelvey, le réseau France Républicaine est indépendant de tout parti politique.",vie politique ; souverainisme ; laïcité ; politique sociale ; France,politics ;  sovereignty ; secularism ; social policy ; France,France républicaine,fre,FR,10,11,DG,
Premier Ministre - Portail du gouvernement,http://www.gouvernement.fr/premier-ministre,Page d'accueil,vie politique:vie politique ; administration publique:administration publique ; culture et communication:culture et communication ; éducation:éducation ; éducation:enseignement supérieur et recherche ; économie:économie ; économie:finances publiques ; relations internationales:relations internationales ; sécurité et défense:sécurité et défense ; société:société ; justice:justice ,324.944,françois fillon,institution ,"Page du Premier Ministre, François Fillon, sur le Portail du gouvernement. Activités générales, définitions des fonctions et responsabilités du Premier ministre et du gouvernement. Politiques publiques : culture et communication ; développement durable ; éducation et recherche ; état et collectivités ; Europe ; justice ; monde ; santé et solidarité ; sécurité et défense ; société ; travail, économie, emploi

",Premier ministre ; gouvernement ; France,Prime Minister ; Government ; France,Gouvernement,fre,FR,12,10,OD,
Parti radical ,http://www.partiradical.net,Page d'accueil,vie politique:vie politique ; économie:finances publiques ; économie:économie ; économie:entreprise ; emploi:emploi ; société:société ; éducation:éducation ; administration publique:aménagement du territoire ; politique sociale:logement ; europe:europe,324.944,jean-louis borloo,political_party,"Descriptif et activités du Parti, ses dirigeants, ses statuts.Son affiliation à l'UMP.",Partis politiques ; Centre droit ; France ;  Élections ,Political party ; Centre ; Elections ;  France,le Parti radical valoisien,fre,FR,12,11,OD,
Elus 2.0,http://www.elus20.fr,Page d'accueil,vie politique:vie politique ; économie:innovation ; numérique:numérique ,324.944,,media,"Les élus, la politique et internet",Vie politique ; élus ; internet ; innovation; France,Politics ; politicians ; internet ; innovation,Elus 2.0,fre,FR,10,11,DG,
Front national (FN),http://www.frontnational.com,Page d'accueil,vie politique:vie politique ; sécurité et défense:sécurité et défense ; vie politique:identité nationale ; vie politique:campagne électorale,324.944,marine le pen ; jean-marie le pen ; louis aliot,political_party,"Les statuts du Parti, ses orientations, son fonctionnement et règlement, le programme politique,",Extrême-droite ; Front national ; France ; Elections,Right-wing extremists ; France ; Elections,Front National,fre,FR,12,10,OD,
Démosphère,http://www.demosphere.eu,Page d'accueil,vie politique:vie politique ; société:discriminations,324.944,,activist,"Agenda alternatif de la région parisienne : sans-papier, écologie, travail, international, éducation, sexisme",vie politique ; politique sociale ; discriminations,politics ; social policy ; discriminations ; France,Démosphère,fre,FR,13,11,DG,
Printemps français : on ne lache rien ! ,http://www.printempsfrancais.fr,Page d'accueil,vie politique:vie politique ; société:discriminations ;  politique sociale:politique sociale,324.944,béatrice bourges,political_party,"Mouvement créé à l'issu des mobilisations de novembre 2012 à mars 2013 pour s'opposer à la loi Taubira, instituant le ""mariage pour tous"", y compris pour les couples homosexuels. ",vie politique ; famille ; mariage ; homosexualité ; politique publique ; France,Political parties ; right-wing extremists; France ; family ; same-sex marriage ,Printemps français,fre,FR,12,11,DG,
Le blog de Caroline Fourest,http://carolinefourest.wordpress.com,Page d'accueil,vie politique:vie politique ; société:discriminations ;  politique sociale:politique sociale,324.944,,activist,"Blog de Caroline Fourest, essayiste et journaliste française. Militante féministe, elle est également engagée sur les thèmes de l'égalité, de la laïcité et des droits de l'homme.",vie politique ; féminisme ; droits de l'homme ; discrimination ; homosexualité ; France,politics ; feminism ; human rights ; discrimination ; homosexuality ; religion ; France,caroline fourest,fre,FR,13,11,DG,
Rama Yade,http://www.rama-yade.fr,page d'accueil,vie politique:vie politique ; société:droits de l’homme ; société:société,324.944,rama yade,politician,Site de Rama Yade,Vie politique ; France ; Centre droit ; élus ; élections ; France ,Politics ; Centre Right ; Elections ; France,Rama Yade,fre,FR,13,11,ZM,
Le Gorafi : depuis 1826 toute l'information de sources contradictoires,http://www.legorafi.fr,Page d'accueil,vie politique:vie politique ; société:société,324.944,,media,Site parodique,actualités ; Humour,News ; humour,Gorafi,fre,FR,10,11,DG,
Respublica,http://www.gaucherepublicaine.org,Page d'accueil,vie politique:vie politique ; société:société ; société:discriminations ; politique sociale:politique sociale ; environnement:développement durable,324.944,jean-luc mélenchon ,media,"Respublica est le journal électronique politique édité par l’association des “Amis de Respublica” qui soutient les idées de la gauche républicaine, laïque, sociale et écologique. ",Vie politique ; discrimination ; laïcité ; France ; Front de gauche,Politics ; left-wing extremists ; secularism ; discrimination ; France,Respublica,fre,FR,10,11,DG,
Parti radical de gauche (PRG),http://www.planeteradicale.org,Page d'accueil,vie politique:vie politique ; vie politique:campagne électorale ; économie:économie ; économie:crise financière ; économie:finances publiques ; emploi:emploi ; administration publique:administration locale ; europe:europe ,324.944,jean-michel baylet,political_party,"Activités, orientation du Parti, le fonctionnement, les statuts",Partis politiques ; Centre gauche ; France ;  Élections ,Political Parties ; Centre  ; France,le Parti radical de gauche,fre,FR,12,11,OD,
Rama Yade sur Twitter ,http://twitter.com/ramayade,Page spécifique,vie politique:vie politique ; vie politique:campagne électorale ; société:société ; société:droits de l’homme,324.944,rama yade,politician,Page Twitter de Rama Yade. Première vice-présidente du Parti radical.,Vie politique ; France ; Centre droit ; Élections ; France ,Politics ; Centre Right ; Elections ; France,Rama Yade,fre,FR,13,11,ZM,
Union pour un mouvement populaire (UMP),http://www.u-m-p.org,Page d'accueil,"vie politique:vie politique ; vie politique:campagne électorale ; vie politique:droit de vote des étrangers ; vie politique:identité nationale ; économie:économie ; économie:entreprise ; économie:finances publiques ; économie:crise financière ; politique sociale:politique sociale ; éducation:éducation ; sécurité et défense:sécurité et défense ; europe:europe



",324.944,nicolas sarkozy ; jean-françois copé,political_party,"Les statuts du Parti, ses orientations, son fonctionnement et réglement, le programme politique, les ramifications et les petits partis dans la mouvance de l'UMP. Inclut une synthèse du projet 2012 de l'UMP pour les élections",Partis politiques ; Droite ; Élections ; France,Political Parties ; Right ; France ; Elections,Union pour un mouvement populaire ,fre,FR,12,10,OD,
"Nous citoyens - Solidarité, responsabilité, confiance",http://www.nouscitoyens.fr,Page d'accueil,vie politique:vie politique ; vie politique:citoyenneté ; économie:entreprise,324.944,denis payre,political_party,"Créé par l'entrepreneur Denis Payre (Business Object et Kiala), Nous citoyens, se veut un rassemblement de ""citoyens, sans couleur politique ni idéologie, animé par le bon sens et le rejet des extrêmes""",mouvement citoyen ; vie politique ; société civile ,citizen movement ; politics ; civic society ; France,Nous citoyens,fre,FR,12,11,DG,
Valérie Pécresse sur Facebook,http://facebook.com/vpecresse,Page spécifique,vie politique:vie politique; vie politique:campagne électorale ; économie:finances publiques ; économie:crise financière ,324.944,valérie pécresse,politician,Page Facebook  de Valérie Pécresse,Vie politique ; France ; UMP ; Droite ; Élections ,Politics ; France ; UMP ; Right ; Elections,Valérie Pécresse,fre,FR,13,11,ZM,
